8936243436070492 top-up 1600.0
8962390562622049 top-up 300.0
8899342595966184 top-up 1200.0
8978571163741023 top-up 1600.0
8976449426358947 top-up 1700.0
8920512504553108 top-up 600.0
8909971450196719 top-up 1100.0
8984562839294673 top-up 1500.0
8888691777988940 top-up 500.0
8873009944682061 top-up 800.0
8879934483519616 top-up 1100.0
8806819751853938 top-up 1700.0
8931257730606420 top-up 1500.0
8947787973530216 top-up 300.0
8813591658082746 top-up 1800.0
8909307355770740 top-up 1000.0
8918107127768116 top-up 1800.0
8902544285239126 top-up 1100.0
8853180770348855 top-up 1500.0
8813372724353704 top-up 1900.0
8743716577743673 credit -35.16 Amazon
8759584267314077 credit -144.35 Lemon_Computer
8542624931903921 debit 173.86 Gas_N_Go
8790698932254497 credit -84.21 SuperMegaCorp
8603002861451157 debit 131.26 Gas_N_Go
8510374578402963 debit 148.28 Geek_Gear
8813591658082746 credit -73.34 Geek_Gear
8579311153854358 credit -165.46 Acme
8466267549793959 debit 82.87 Weyland_Research
8597982773221790 debit 205.71 Acme
8489981925227953 debit 20.74 Gas_N_Go
8458930310710342 credit -95.8 Lemon_Computer
8888691777988940 debit 69.29 Geek_Gear
8899342595966184 credit -75.47 XYZ_Inc
8759584267314077 credit -14.8 Geek_Gear
8640627513986761 credit -194.27 Gas_N_Go
8899342595966184 credit -130.22 Amazon
8902544285239126 credit -207.58 Gas_N_Go
8740008867464316 credit -16.35 Zorg_Corporation
8638942563534615 credit -68.27 Geek_Gear
8873009944682061 debit 57.14 Lemon_Computer
8873009944682061 debit 156.31 Acme
8489981925227953 debit 131.98 Weyland_Research
8888691777988940 credit -133.57 Gas_N_Go
8638942563534615 debit 20.22 Trask_Heavy_Industries
8902544285239126 debit 123.84 Acme
8947787973530216 debit 237.54 Lemon_Computer
8976449426358947 credit -121.57 Amazon
8936243436070492 credit -68.53 XYZ_Inc
8873009944682061 credit -7.56 Geek_Gear
8682059703866834 credit -233.31 Geek_Gear
8813372724353704 credit -140.78 Geek_Gear
8760957627014653 debit 217.94 XYZ_Inc
8888691777988940 credit -69.25 Geek_Gear
8638942563534615 credit -234.1 SuperMegaCorp
8581063421148570 debit 117.68 XYZ_Inc
8918107127768116 top-up 1900.0
8813591658082746 top-up 300.0
8603100485227884 debit 192.45 Lemon_Computer
8931257730606420 credit -118.62 Trask_Heavy_Industries
8540673557146376 debit 92.41 Weyland_Research
8466267549793959 credit -100.46 Gas_N_Go
8640627513986761 redeem 4055
8638942563534615 debit 29.1 SuperMegaCorp
8510374578402963 credit -71.99 Geek_Gear
8698805977296417 credit -126.95 SuperMegaCorp
8540673557146376 debit 184.31 Lemon_Computer
8524906615421823 credit -118.92 Amazon
8984562839294673 debit 81.13 SuperMegaCorp
8603002861451157 credit -132.05 Geek_Gear
8909307355770740 debit 117.16 Gas_N_Go
8790698932254497 debit 235.56 Gas_N_Go
8813591658082746 debit 27.26 Lemon_Computer
8936243436070492 credit -242.04 XYZ_Inc
8510374578402963 debit 187.3 Geek_Gear
8931257730606420 debit 99.01 Acme
8909971450196719 credit -214.72 Lemon_Computer
8888691777988940 top-up 2000.0
8909307355770740 credit -195.33 Geek_Gear
8657755187767454 debit 63.31 SuperMegaCorp
8489981925227953 credit -137.92 XYZ_Inc
8715429616914016 debit 14.02 Trask_Heavy_Industries
8640627513986761 debit 170.09 Weyland_Research
8909971450196719 credit -217.53 Gas_N_Go
8579311153854358 credit -85.94 Trask_Heavy_Industries
8715429616914016 redeem 575
8640627513986761 credit -229.85 XYZ_Inc
8524906615421823 debit 188.06 Lemon_Computer
8853180770348855 credit -248.82 XYZ_Inc
8899342595966184 debit 58.97 Amazon
8936243436070492 top-up 1500.0
8574834270460638 credit -117.6 Acme
8472089627481297 debit 180.92 XYZ_Inc
8524906615421823 debit 171.69 Zorg_Corporation
8931257730606420 credit -155.33 Gas_N_Go
8542624931903921 debit 79.18 Trask_Heavy_Industries
8909307355770740 debit 67.87 XYZ_Inc
8978571163741023 top-up 600.0
8489981925227953 debit 49.77 Zorg_Corporation
8715429616914016 debit 179.71 Amazon
8522467870270496 credit -66.09 XYZ_Inc
8400219437311688 credit -103.79 Gas_N_Go
8535187875019814 credit -124.14 Amazon
8759584267314077 debit 55.11 XYZ_Inc
8873009944682061 debit 81.53 Zorg_Corporation
8603865194700047 debit 70.42 Zorg_Corporation
8978571163741023 debit 109.35 Acme
8978571163741023 debit 19.04 SuperMegaCorp
8458930310710342 credit -114.63 Weyland_Research
8603002861451157 debit 70.17 SuperMegaCorp
8743716577743673 redeem 4523
8853180770348855 debit 38.25 XYZ_Inc
8790698932254497 credit -35.07 Gas_N_Go
8642541327644969 debit 6.33 Gas_N_Go
8472089627481297 debit 34.37 Trask_Heavy_Industries
8853180770348855 top-up 1100.0
8510374578402963 credit -223.13 Zorg_Corporation
8472089627481297 credit -165.18 SuperMegaCorp
8902544285239126 debit 96.42 Geek_Gear
8947787973530216 top-up 1600.0
8978571163741023 credit -154.45 Zorg_Corporation
8458930310710342 credit -18.5 Zorg_Corporation
8909971450196719 debit 179.64 Weyland_Research
8668449391881086 credit -109.18 Amazon
8936243436070492 debit 35.18 Gas_N_Go
8541727209509208 credit -133.41 Zorg_Corporation
8795679644539289 debit 187.81 Weyland_Research
8962390562622049 debit 32.06 Gas_N_Go
8759584267314077 credit -182.04 XYZ_Inc
8976449426358947 top-up 600.0
8873009944682061 credit -165.34 Amazon
8795679644539289 credit -52.0 Amazon
8579311153854358 credit -24.74 Amazon
8642541327644969 credit -31.07 Gas_N_Go
8743716577743673 credit -34.1 XYZ_Inc
8638942563534615 debit 158.43 SuperMegaCorp
8682059703866834 debit 142.07 Zorg_Corporation
8603100485227884 debit 28.99 Gas_N_Go
8909307355770740 debit 151.95 Weyland_Research
8466267549793959 credit -116.79 Weyland_Research
8556436322082842 debit 67.07 Acme
8657755187767454 debit 252.21 Geek_Gear
8638942563534615 debit 24.88 SuperMegaCorp
8581063421148570 credit -50.45 Acme
8400219437311688 credit -183.21 XYZ_Inc
8962390562622049 credit -142.17 Trask_Heavy_Industries
8936243436070492 debit 94.65 XYZ_Inc
8540673557146376 credit -189.73 Lemon_Computer
8489981925227953 debit 206.87 Zorg_Corporation
8473474823659978 debit 149.91 Amazon
8640627513986761 redeem 2752
8931257730606420 debit 174.97 SuperMegaCorp
8813591658082746 credit -19.07 SuperMegaCorp
8936243436070492 credit -185.86 XYZ_Inc
8682059703866834 redeem 1131
8489981925227953 debit 47.54 Geek_Gear
8638942563534615 redeem 4453
8931257730606420 debit 184.14 Trask_Heavy_Industries
8542624931903921 credit -9.05 SuperMegaCorp
8902544285239126 credit -102.03 Geek_Gear
8489981925227953 credit -206.89 XYZ_Inc
8581063421148570 debit 162.61 Acme
8540673557146376 credit -173.62 Lemon_Computer
8603002861451157 credit -130.91 Lemon_Computer
8984562839294673 debit 11.0 Amazon
8638942563534615 credit -85.48 Weyland_Research
8489981925227953 credit -15.74 Geek_Gear
8400219437311688 debit 174.74 SuperMegaCorp
8540673557146376 credit -24.05 Acme
8790698932254497 credit -188.58 Zorg_Corporation
8899342595966184 top-up 1600.0
8489981925227953 credit -232.8 Acme
8603100485227884 debit 139.87 Trask_Heavy_Industries
8759584267314077 debit 79.71 Zorg_Corporation
8920512504553108 credit -157.12 Acme
8603100485227884 credit -19.78 Trask_Heavy_Industries
8657755187767454 credit -201.84 Zorg_Corporation
8740008867464316 credit -149.68 Trask_Heavy_Industries
8879934483519616 debit 182.12 Trask_Heavy_Industries
8657755187767454 debit 55.18 Geek_Gear
8603865194700047 debit 220.02 Lemon_Computer
8652104306470838 redeem 1233
8638942563534615 credit -52.33 Weyland_Research
8682059703866834 debit 193.5 Acme
8607038705438596 credit -139.44 SuperMegaCorp
8909307355770740 credit -90.55 Weyland_Research
8976449426358947 debit 35.88 XYZ_Inc
8524906615421823 credit -51.2 Weyland_Research
8936243436070492 debit 102.56 Lemon_Computer
8510374578402963 debit 239.83 Zorg_Corporation
8603865194700047 redeem 655
8879934483519616 debit 57.76 Trask_Heavy_Industries
8795679644539289 debit 39.27 Amazon
8931257730606420 credit -119.45 Weyland_Research
8603002861451157 credit -10.61 XYZ_Inc
8579311153854358 credit -5.06 Weyland_Research
8472089627481297 debit 122.32 SuperMegaCorp
8574834270460638 credit -65.33 Acme
8909307355770740 debit 200.92 SuperMegaCorp
8575451042939192 debit 109.52 Lemon_Computer
8603100485227884 debit 38.79 Geek_Gear
8813372724353704 credit -70.01 XYZ_Inc
8813372724353704 credit -218.96 XYZ_Inc
8541727209509208 credit -122.49 XYZ_Inc
8652104306470838 credit -179.84 XYZ_Inc
8535187875019814 debit 118.42 Geek_Gear
8715429616914016 credit -136.75 Gas_N_Go
8918107127768116 credit -148.41 Gas_N_Go
8920512504553108 credit -63.36 Acme
8902544285239126 credit -254.67 Lemon_Computer
8813372724353704 credit -71.64 Amazon
8899342595966184 credit -91.39 SuperMegaCorp
8920512504553108 debit 107.07 Lemon_Computer
8603002861451157 debit 68.58 Trask_Heavy_Industries
8888691777988940 debit 46.71 Amazon
8873009944682061 credit -111.57 Geek_Gear
8553132768960731 debit 136.3 Gas_N_Go
8899342595966184 credit -251.95 Acme
8909307355770740 debit 83.67 Lemon_Computer
8652104306470838 credit -23.8 Geek_Gear
8510374578402963 credit -97.89 Amazon
8920512504553108 debit 184.9 Lemon_Computer
8541727209509208 debit 209.62 Geek_Gear
8522467870270496 debit 77.71 Geek_Gear
8853180770348855 debit 129.57 Gas_N_Go
8899342595966184 top-up 1700.0
8899342595966184 credit -211.33 Gas_N_Go
8642541327644969 credit -190.58 SuperMegaCorp
8899342595966184 credit -142.18 Trask_Heavy_Industries
8479979080188788 credit -109.21 Trask_Heavy_Industries
8579311153854358 debit 47.01 Zorg_Corporation
8556436322082842 credit -219.45 Lemon_Computer
8607038705438596 debit 10.95 Amazon
8984562839294673 credit -156.09 Weyland_Research
8759584267314077 credit -135.4 SuperMegaCorp
8920512504553108 debit 254.81 Weyland_Research
8888691777988940 credit -251.45 XYZ_Inc
8918107127768116 top-up 400.0
8638942563534615 credit -183.59 Weyland_Research
8541727209509208 credit -154.44 Amazon
8607038705438596 credit -218.61 Gas_N_Go
8652104306470838 debit 127.23 XYZ_Inc
8909971450196719 top-up 1800.0
8642541327644969 credit -58.66 Weyland_Research
8902544285239126 credit -117.66 Acme
8489981925227953 credit -84.77 Geek_Gear
8603865194700047 credit -81.87 XYZ_Inc
8743716577743673 redeem 1207
8581063421148570 credit -32.46 Lemon_Computer
8947787973530216 debit 8.08 Gas_N_Go
8759584267314077 credit -141.77 Lemon_Computer
8472089627481297 debit 65.51 Gas_N_Go
8760957627014653 debit 175.92 Trask_Heavy_Industries
8466267549793959 debit 231.63 Acme
8603100485227884 debit 234.45 SuperMegaCorp
8813591658082746 debit 34.4 Trask_Heavy_Industries
8581063421148570 debit 135.18 Zorg_Corporation
8603100485227884 credit -52.67 Gas_N_Go
8597982773221790 debit 145.68 Acme
8873009944682061 credit -218.28 Acme
8715429616914016 debit 211.01 Zorg_Corporation
8553132768960731 credit -150.2 Acme
8522467870270496 credit -19.51 Weyland_Research
8909971450196719 debit 6.95 Geek_Gear
8879934483519616 debit 77.7 Lemon_Computer
8740008867464316 debit 213.31 Zorg_Corporation
8640627513986761 credit -31.89 Weyland_Research
8553132768960731 credit -174.95 Acme
8740008867464316 debit 139.13 Weyland_Research
8909971450196719 debit 33.24 Gas_N_Go
8472089627481297 debit 67.28 Geek_Gear
8947787973530216 debit 115.51 Amazon
8853180770348855 credit -33.58 Trask_Heavy_Industries
8574834270460638 credit -238.76 Acme
8715429616914016 redeem 658
8535187875019814 credit -104.32 Acme
8607038705438596 debit 133.81 Lemon_Computer
8962390562622049 credit -124.11 Zorg_Corporation
8603865194700047 debit 149.25 Geek_Gear
8984562839294673 debit 231.98 Gas_N_Go
8541727209509208 debit 210.65 SuperMegaCorp
8806819751853938 debit 231.17 Gas_N_Go
8542624931903921 credit -64.89 Weyland_Research
8790698932254497 credit -45.45 Weyland_Research
8698805977296417 debit 125.65 XYZ_Inc
8607038705438596 debit 129.86 Trask_Heavy_Industries
8574834270460638 debit 179.36 Trask_Heavy_Industries
8698805977296417 credit -233.92 Acme
8479979080188788 credit -110.63 Weyland_Research
8806819751853938 debit 65.31 Geek_Gear
8978571163741023 credit -195.28 Acme
8873009944682061 top-up 1300.0
8535187875019814 debit 243.58 Lemon_Computer
8575451042939192 credit -15.13 XYZ_Inc
8575451042939192 credit -142.28 XYZ_Inc
8918107127768116 debit 74.29 Acme
8652104306470838 debit 242.77 Acme
8813372724353704 top-up 900.0
8542624931903921 debit 234.81 Acme
8458930310710342 debit 144.32 Lemon_Computer
8760957627014653 credit -221.65 Trask_Heavy_Industries
8541727209509208 credit -57.59 Geek_Gear
8603002861451157 debit 67.07 Amazon
8879934483519616 credit -219.27 Acme
8740008867464316 debit 89.58 Lemon_Computer
8759584267314077 debit 167.61 Gas_N_Go
8740008867464316 credit -192.54 Gas_N_Go
8760957627014653 credit -171.75 Zorg_Corporation
8873009944682061 debit 122.89 Gas_N_Go
8553132768960731 credit -17.75 Geek_Gear
8574834270460638 debit 22.83 Zorg_Corporation
8813372724353704 top-up 800.0
8581063421148570 credit -130.57 Trask_Heavy_Industries
8936243436070492 debit 144.97 XYZ_Inc
8575451042939192 debit 107.02 Lemon_Computer
8540673557146376 debit 113.26 SuperMegaCorp
8522467870270496 debit 158.0 Gas_N_Go
8535187875019814 credit -149.77 Weyland_Research
8947787973530216 debit 149.29 Trask_Heavy_Industries
8795679644539289 credit -153.48 Gas_N_Go
8522467870270496 debit 79.49 Geek_Gear
8760957627014653 debit 71.97 Zorg_Corporation
8472089627481297 debit 103.53 Trask_Heavy_Industries
8740008867464316 credit -94.81 Acme
8668449391881086 credit -122.69 Amazon
8466267549793959 credit -105.46 SuperMegaCorp
8795679644539289 debit 138.58 Weyland_Research
8795679644539289 credit -133.46 Trask_Heavy_Industries
8899342595966184 credit -178.61 Amazon
8888691777988940 top-up 600.0
8400219437311688 debit 226.08 Amazon
8556436322082842 credit -191.93 XYZ_Inc
8978571163741023 debit 199.77 Trask_Heavy_Industries
8743716577743673 redeem 973
8698805977296417 debit 161.49 Amazon
8790698932254497 redeem 227
8760957627014653 credit -6.93 Geek_Gear
8574834270460638 credit -236.19 Weyland_Research
8541727209509208 credit -182.33 XYZ_Inc
8931257730606420 debit 13.64 Weyland_Research
8603002861451157 credit -210.96 Gas_N_Go
8579311153854358 credit -49.82 Acme
8976449426358947 debit 91.5 Amazon
8806819751853938 credit -182.44 Trask_Heavy_Industries
8962390562622049 credit -43.62 XYZ_Inc
8888691777988940 credit -128.74 Weyland_Research
8466267549793959 credit -237.42 Zorg_Corporation
8489981925227953 credit -242.22 Acme
8920512504553108 debit 56.61 Trask_Heavy_Industries
8553132768960731 debit 135.29 Amazon
8603865194700047 redeem 1424
8489981925227953 credit -141.21 Lemon_Computer
8902544285239126 credit -136.96 Zorg_Corporation
8642541327644969 debit 103.64 Zorg_Corporation
8790698932254497 debit 34.89 Zorg_Corporation
8962390562622049 credit -62.49 Lemon_Computer
8522467870270496 debit 171.19 Geek_Gear
8920512504553108 credit -94.46 Amazon
8466267549793959 credit -6.18 Geek_Gear
8607038705438596 credit -101.58 Zorg_Corporation
8603002861451157 debit 241.32 XYZ_Inc
8962390562622049 debit 153.64 Gas_N_Go
8795679644539289 debit 179.8 Acme
8466267549793959 debit 31.09 Amazon
8542624931903921 debit 249.42 Zorg_Corporation
8542624931903921 debit 189.62 SuperMegaCorp
8522467870270496 debit 119.88 Geek_Gear
8579311153854358 debit 141.39 Acme
8715429616914016 debit 225.28 Trask_Heavy_Industries
8920512504553108 credit -138.76 Trask_Heavy_Industries
8473474823659978 credit -27.83 Gas_N_Go
8879934483519616 credit -129.07 Zorg_Corporation
8760957627014653 credit -111.51 XYZ_Inc
8853180770348855 debit 117.83 Acme
8603002861451157 redeem 1009
8909971450196719 debit 194.6 Gas_N_Go
8899342595966184 credit -63.14 Zorg_Corporation
8542624931903921 credit -12.78 Trask_Heavy_Industries
8760957627014653 redeem 1764
8458930310710342 debit 57.0 Lemon_Computer
8553132768960731 credit -17.29 Amazon
8603865194700047 debit 28.37 Geek_Gear
8556436322082842 credit -44.51 Gas_N_Go
8535187875019814 credit -102.52 Acme
8510374578402963 credit -156.96 Gas_N_Go
8888691777988940 credit -207.12 Amazon
8813591658082746 debit 254.47 Gas_N_Go
8489981925227953 debit 201.11 Weyland_Research
8473474823659978 credit -147.83 Geek_Gear
8936243436070492 credit -150.42 Trask_Heavy_Industries
8909307355770740 credit -112.75 Trask_Heavy_Industries
8556436322082842 debit 181.08 Gas_N_Go
8466267549793959 credit -5.03 XYZ_Inc
8909971450196719 debit 71.55 Amazon
8947787973530216 debit 86.0 Weyland_Research
8931257730606420 debit 45.33 SuperMegaCorp
8579311153854358 credit -218.38 Acme
8466267549793959 credit -212.04 SuperMegaCorp
8472089627481297 credit -203.33 XYZ_Inc
8920512504553108 credit -62.66 SuperMegaCorp
